m0,m1,m2,m3,voltage_mV,std_mV
3127,114,818,556,334.21308023316146,8.85029694481399
3003,966,747,699,4.9472945341349535,5.606094882768829
3089,515,1571,1386,6.420270393993958,3.134554737160085
2705,168,1486,727,5.335398419141209,5.128870405157401
2652,320,927,658,17.95037690359203,8.605525272371354
3135,693,1230,1234,6.411420026245918,3.1079213223897426
2593,751,1096,526,6.632007812738426,2.626590243417299
2379,536,1106,1353,8.330027161473433,4.732878450538352
2355,270,1463,1322,5.652882473220008,4.617559608389074
2179,994,627,1222,6.235023041474655,3.542137897322495
3036,499,1537,1068,5.494125186925871,4.866479197991238
2828,451,897,653,148.09686574907673,2.632579041869361
2381,670,1202,901,6.870265816217536,2.011456895635836
2932,818,747,1056,5.988067262794886,4.060145783684463
2452,906,626,721,221.3611255226295,5.813580156688628
2713,868,885,1049,6.905575731681264,1.9341258875265994
2581,188,1106,1256,7.259254737998597,2.5465075717215195
2920,50,1178,637,6.190893276772363,3.598141786575121
2465,944,1238,1184,484.1326029236732,2.558531700110803
2417,61,1070,1260,5.926297799615467,4.13979897330054
2991,446,1144,903,5.502945036164434,4.853121542619253
2517,722,867,559,60.14007995849482,1.1847267690097423
2953,999,1184,928,5.335367900631733,5.098330616979802
