m0,m1,m2,m3,voltage_mV,std_mV
838,1102,2668,2933,5.185430463576159,5.303648971034857
2261,1249,1312,408,4.876766258735923,5.718089253710065
3417,86,880,3093,5.203070162053286,5.280129282325192
2386,1808,2848,1467,5.55589465010529,4.8044623185623285
85,238,282,1044,4.179967650379956,6.425640011872697
2319,1772,1897,3012,3.077486495559557,7.307179889783142
1755,2308,1354,2682,4.250526444288462,6.358560801148665
1787,1244,607,3201,4.13586840418714,6.466820280610311
2074,102,489,2097,4.091769157994324,6.507441127987001
3836,718,2746,1379,4.382824182866909,6.228687186188179
1606,2534,566,368,5.6881923886837376,4.593768850158032
11,256,2137,2591,5.026673177282023,5.508269476919832
2879,1793,2395,1444,4.638599810785241,5.9612720944375335
2686,1294,1289,808,4.409314249092074,6.227181241619023
3374,2514,492,2048,5.203070162053286,5.280129282325192
1991,2002,3800,3383,4.52394177068392,6.083931749038957
2692,2842,3283,3860,5.6970122379223,4.579242064437366
2211,3541,137,2822,4.259346293527025,6.35007095170634
2584,636,1502,3219,5.529404583880123,4.812729163313568
2211,873,2354,3435,5.37946714682455,5.03550057623832
2366,1879,1348,3188,5.185430463576159,5.303648971034857
1509,2659,526,595,5.335367900631734,5.0983306169798
345,1591,383,3549,4.770928067873165,5.840522419636224
586,2662,887,4077,4.0036011841181685,6.610717843013329
620,247,3601,3889,5.009033478804896,5.530256469731811
581,2996,344,2566,4.797357097079379,5.78339378830529
1957,395,2066,2787,4.038850062562944,6.55546234085304
3719,1789,4021,1490,5.635242774742882,4.646143886493181
144,750,2863,3077,4.206427198095645,6.400658842704013
2052,1427,97,500,4.594500564592424,6.009004129517672
3337,3273,288,1584,4.453382976775414,6.157139217085509
804,1866,2228,3509,4.71797845393231,5.87354282492703
2489,145,459,193,4.241706595049898,6.367027112603092
1408,2529,353,2442,4.753257850886563,5.833781921580147
266,827,587,1655,4.321085238196966,6.289974902559922
3229,544,2429,3713,3.9771111178930023,6.610510836193268
435,3822,2647,914,5.520615253151036,4.858496172961467
446,2565,2616,1711,5.273628955961792,5.184383606491333
1198,1916,3400,3328,4.49748222296823,6.1115827780065395
3511,525,2322,832,3.2450636310922576,7.191065996465455
3212,1943,2337,2470,3.853633228553118,6.7175529292940634
1673,1314,2607,610,5.308908352916045,5.135477927350265
3879,324,1401,1278,3.3420819727164526,7.121174895427175
2609,2098,207,2654,4.400463881344036,6.210952612850046
1500,654,2770,1834,4.770928067873165,5.840522419636224
2483,2288,3724,3786,5.203070162053286,5.280129282325193
3677,3518,3327,3960,5.4059572130497155,5.02838999378999
2864,1360,1468,1944,3.765434736167486,6.791604627911383
794,1455,237,1038,3.2186040833765683,7.209783049209558
200,1028,2536,2808,4.3034455397198395,6.307265298724039
2530,1032,1059,756,4.232886745811335,6.375469979841501
3541,1864,2982,2560,4.091769157994324,6.507441127987001
3770,2779,3556,1237,5.37946714682455,5.03550057623832
1317,3905,1804,12,3.3244422742393263,7.134031435317243
1917,1727,1466,886,6.173314615314188,3.7222267676425593
3424,564,1449,2366,4.885555589465011,5.680249964009088
1858,3080,3347,3455,5.053132724997711,5.475016876530337
2337,330,1883,1339,5.397106845301676,5.0100392599492976
1884,1572,1595,2021,4.391644032105472,6.219832473705977
873,299,3999,620,4.8414563432721955,5.732223514974926
1935,1218,2734,1401,4.127048554948576,6.474988864791657
3266,2330,2931,2757,5.846919156468399,4.285793357979992
719,2450,3904,2348,4.823847163304545,5.779872304341612
3185,2237,3293,2604,5.106051820429091,5.407509915677526
2014,834,1013,3310,4.144688253425703,6.458629320898397
3625,435,3884,3665,5.688192388683737,4.593768850158032
1450,3457,639,3800,4.638599810785242,5.9612720944375335
676,2582,61,170,4.8502761925107585,5.721893762574818
2087,4007,1955,81,4.10940885647145,6.491259244219008
758,3952,922,206,4.391644032105472,6.219832473705976
1380,1901,571,2161,4.1976073488570815,6.409008855821443
3844,1277,4042,353,5.061952574236275,5.463859230919549
4066,372,1741,150,3.9330118717001863,6.649201219291394
472,3335,3233,3593,4.885555589465011,5.680249964009088
1421,2762,3640,1705,5.079592272713401,5.44143241719372
2544,1876,1843,1589,4.321085238196966,6.289974902559922
2350,3047,123,669,4.276985992004151,6.333020259944044
3296,133,1573,648,4.4710226752525415,6.1389952241842805
1239,1701,2993,2285,5.026673177282023,5.508269476919832
3050,922,2342,1065,4.656239509262368,5.941980281833244
2447,3293,1685,299,4.188787499618519,6.417335882422636
220,2695,216,1024,4.8414563432721955,5.732223514974926
3877,3055,3911,561,5.626422925504319,4.6603452429258985
3725,2233,3182,1405,6.04095583971679,3.9164897815125874
2345,1829,2278,804,5.2207708975493645,5.315534107772317
245,1331,3705,1923,4.885555589465011,5.680249964009088
496,2071,2818,3503,5.661702322458572,4.603175559254572
868,3257,1303,361,4.894375438703573,5.669756922547955
2175,3,1393,3876,4.1887874996185195,6.417335882422635
1555,1603,271,3718,4.929654835657826,5.627450878913955
